"","a1","b1","c1","d1","e1","a2","b2","c2","d2","e2","test_m"
"1",13,90,0,180,1,2,2,2,2,2,0.465550687683322
"2",20,90,0,180,1,2,2,2,2,2,0.466348583335958
"5",13,90,3e+07,180,1,2,2,2,2,2,0.466562802528418
"6",20,90,3e+07,180,1,2,2,2,2,2,0.466108058363082
"9",13,90,0,270,1,2,2,2,2,2,0.465502245058023
"10",20,90,0,270,1,2,2,2,2,2,0.466218906272331
"13",13,90,3e+07,270,1,2,2,2,2,2,0.465984491422538
"14",20,90,3e+07,270,1,2,2,2,2,2,0.465706115805415
"33",13,90,0,180,1,3,2,2,2,2,0.469833177434255
"34",20,90,0,180,1,3,2,2,2,2,0.468677278465714
"37",13,90,3e+07,180,1,3,2,2,2,2,0.467896014153787
"38",20,90,3e+07,180,1,3,2,2,2,2,0.467178640400268
"41",13,90,0,270,1,3,2,2,2,2,0.468832161387197
"42",20,90,0,270,1,3,2,2,2,2,0.468161359079072
"45",13,90,3e+07,270,1,3,2,2,2,2,0.468754732081778
"46",20,90,3e+07,270,1,3,2,2,2,2,0.469816171295285
"65",13,90,0,180,1,4,2,2,2,2,0.467421563181739
"66",20,90,0,180,1,4,2,2,2,2,0.465631668827936
"69",13,90,3e+07,180,1,4,2,2,2,2,0.466300174010871
"70",20,90,3e+07,180,1,4,2,2,2,2,0.465013151171147
"73",13,90,0,270,1,4,2,2,2,2,0.465831853423995
"74",20,90,0,270,1,4,2,2,2,2,0.465777780472627
"77",13,90,3e+07,270,1,4,2,2,2,2,0.466776521126939
"78",20,90,3e+07,270,1,4,2,2,2,2,0.467771548554185
"97",13,90,0,180,1,2,3,2,2,2,0.466870582493783
"98",20,90,0,180,1,2,3,2,2,2,0.466942053730434
"101",13,90,3e+07,180,1,2,3,2,2,2,0.466705050212493
"102",20,90,3e+07,180,1,2,3,2,2,2,0.466063638741043
"105",13,90,0,270,1,2,3,2,2,2,0.46679706668707
"106",20,90,0,270,1,2,3,2,2,2,0.466042070761457
"109",13,90,3e+07,270,1,2,3,2,2,2,0.466913852599333
"110",20,90,3e+07,270,1,2,3,2,2,2,0.466019092883824
"129",13,90,0,180,1,3,3,2,2,2,0.473265061041326
"130",20,90,0,180,1,3,3,2,2,2,0.467776456698402
"133",13,90,3e+07,180,1,3,3,2,2,2,0.468795160520774
"134",20,90,3e+07,180,1,3,3,2,2,2,0.469434670181053
"137",13,90,0,270,1,3,3,2,2,2,0.470102604849274
"138",20,90,0,270,1,3,3,2,2,2,0.469957977771761
"141",13,90,3e+07,270,1,3,3,2,2,2,0.470003735560416
"142",20,90,3e+07,270,1,3,3,2,2,2,0.469217593471374
"161",13,90,0,180,1,4,3,2,2,2,0.466585647753221
"162",20,90,0,180,1,4,3,2,2,2,0.465944947555392
"165",13,90,3e+07,180,1,4,3,2,2,2,0.465925534911549
"166",20,90,3e+07,180,1,4,3,2,2,2,0.466512364676076
"169",13,90,0,270,1,4,3,2,2,2,0.467053618258871
"170",20,90,0,270,1,4,3,2,2,2,0.467373259805515
"173",13,90,3e+07,270,1,4,3,2,2,2,0.472272611003314
"174",20,90,3e+07,270,1,4,3,2,2,2,0.503157543463358
"193",13,90,0,180,1,2,4,2,2,2,0.466251836903873
"194",20,90,0,180,1,2,4,2,2,2,0.465753074956948
"197",13,90,3e+07,180,1,2,4,2,2,2,0.465390214499338
"198",20,90,3e+07,180,1,2,4,2,2,2,0.465322688423013
"201",13,90,0,270,1,2,4,2,2,2,0.465731153196619
"202",20,90,0,270,1,2,4,2,2,2,0.465759504094757
"205",13,90,3e+07,270,1,2,4,2,2,2,0.46522116760288
"206",20,90,3e+07,270,1,2,4,2,2,2,0.465434401699542
"225",13,90,0,180,1,3,4,2,2,2,0.469232474966601
"226",20,90,0,180,1,3,4,2,2,2,0.468931114964335
"229",13,90,3e+07,180,1,3,4,2,2,2,0.469119218934756
"230",20,90,3e+07,180,1,3,4,2,2,2,0.46855798277433
"233",13,90,0,270,1,3,4,2,2,2,0.469406398525787
"234",20,90,0,270,1,3,4,2,2,2,0.469547775426548
"237",13,90,3e+07,270,1,3,4,2,2,2,0.467939555205727
"238",20,90,3e+07,270,1,3,4,2,2,2,0.466940733202276
"257",13,90,0,180,1,4,4,2,2,2,0.465886914069598
"258",20,90,0,180,1,4,4,2,2,2,0.465311410109572
"261",13,90,3e+07,180,1,4,4,2,2,2,0.46686977328426
"262",20,90,3e+07,180,1,4,4,2,2,2,0.468708511129545
"265",13,90,0,270,1,4,4,2,2,2,0.466708394857448
"266",20,90,0,270,1,4,4,2,2,2,0.466000411404747
"269",13,90,3e+07,270,1,4,4,2,2,2,0.467292382147146
"270",20,90,3e+07,270,1,4,4,2,2,2,0.466240650528878
"289",13,90,0,180,1,2,2,3,2,2,0.46311420579113
"290",20,90,0,180,1,2,2,3,2,2,0.463021395188506
"293",13,90,3e+07,180,1,2,2,3,2,2,0.463505668834294
"294",20,90,3e+07,180,1,2,2,3,2,2,0.462178134407062
"297",13,90,0,270,1,2,2,3,2,2,0.463442589488985
"298",20,90,0,270,1,2,2,3,2,2,0.463460331432258
"301",13,90,3e+07,270,1,2,2,3,2,2,0.463151631483141
"302",20,90,3e+07,270,1,2,2,3,2,2,0.463727087134325
"321",13,90,0,180,1,3,2,3,2,2,0.467652403843669
"322",20,90,0,180,1,3,2,3,2,2,0.467464335784503
"325",13,90,3e+07,180,1,3,2,3,2,2,0.466730998911775
"326",20,90,3e+07,180,1,3,2,3,2,2,0.464345880916806
"329",13,90,0,270,1,3,2,3,2,2,0.465953519307424
"330",20,90,0,270,1,3,2,3,2,2,0.466491671953447
"333",13,90,3e+07,270,1,3,2,3,2,2,0.467767807435973
"334",20,90,3e+07,270,1,3,2,3,2,2,0.467071791217944
"353",13,90,0,180,1,4,2,3,2,2,0.467624014899625
"354",20,90,0,180,1,4,2,3,2,2,0.46389607671765
"357",13,90,3e+07,180,1,4,2,3,2,2,0.465392686299355
"358",20,90,3e+07,180,1,4,2,3,2,2,0.510244899768598
"361",13,90,0,270,1,4,2,3,2,2,0.507119071858118
"362",20,90,0,270,1,4,2,3,2,2,0.462806311744658
"365",13,90,3e+07,270,1,4,2,3,2,2,0.462623987173148
"366",20,90,3e+07,270,1,4,2,3,2,2,0.462415379492569
"385",13,90,0,180,1,2,3,3,2,2,0.464209814697729
"386",20,90,0,180,1,2,3,3,2,2,0.464189456041509
"389",13,90,3e+07,180,1,2,3,3,2,2,0.464169147995139
"390",20,90,3e+07,180,1,2,3,3,2,2,0.463014267742129
"393",13,90,0,270,1,2,3,3,2,2,0.464416382153973
"394",20,90,0,270,1,2,3,3,2,2,0.463819746813186
"397",13,90,3e+07,270,1,2,3,3,2,2,0.465401140836461
"398",20,90,3e+07,270,1,2,3,3,2,2,0.463379460559035
"417",13,90,0,180,1,3,3,3,2,2,0.469182816182711
"418",20,90,0,180,1,3,3,3,2,2,0.465441512092979
"421",13,90,3e+07,180,1,3,3,3,2,2,0.467906855982469
"422",20,90,3e+07,180,1,3,3,3,2,2,0.466460703477375
"425",13,90,0,270,1,3,3,3,2,2,0.467226755635414
"426",20,90,0,270,1,3,3,3,2,2,0.466302698504258
"429",13,90,3e+07,270,1,3,3,3,2,2,0.46771720252217
"430",20,90,3e+07,270,1,3,3,3,2,2,0.467600504692738
"449",13,90,0,180,1,4,3,3,2,2,0.465784772659096
"450",20,90,0,180,1,4,3,3,2,2,0.464613058078843
"453",13,90,3e+07,180,1,4,3,3,2,2,0.463649615430409
"454",20,90,3e+07,180,1,4,3,3,2,2,0.462834577037142
"457",13,90,0,270,1,4,3,3,2,2,0.46782002241732
"458",20,90,0,270,1,4,3,3,2,2,0.464303413935412
"461",13,90,3e+07,270,1,4,3,3,2,2,0.463505208821438
"462",20,90,3e+07,270,1,4,3,3,2,2,0.463170028354894
"481",13,90,0,180,1,2,4,3,2,2,0.462894972266359
"482",20,90,0,180,1,2,4,3,2,2,0.463214633513393
"485",13,90,3e+07,180,1,2,4,3,2,2,0.462637107862438
"486",20,90,3e+07,180,1,2,4,3,2,2,0.463127795856792
"489",13,90,0,270,1,2,4,3,2,2,0.463560327750614
"490",20,90,0,270,1,2,4,3,2,2,0.46246344422094
"493",13,90,3e+07,270,1,2,4,3,2,2,0.46245238517268
"494",20,90,3e+07,270,1,2,4,3,2,2,0.462426447614366
"513",13,90,0,180,1,3,4,3,2,2,0.467180998109034
"514",20,90,0,180,1,3,4,3,2,2,0.467249256580572
"517",13,90,3e+07,180,1,3,4,3,2,2,0.468103864806994
"518",20,90,3e+07,180,1,3,4,3,2,2,0.46480518089388
"521",13,90,0,270,1,3,4,3,2,2,0.469263950074659
"522",20,90,0,270,1,3,4,3,2,2,0.465912910818431
"525",13,90,3e+07,270,1,3,4,3,2,2,0.46656916354159
"526",20,90,3e+07,270,1,3,4,3,2,2,0.465325052173411
"545",13,90,0,180,1,4,4,3,2,2,0.463605082594807
"546",20,90,0,180,1,4,4,3,2,2,0.466661162007753
"549",13,90,3e+07,180,1,4,4,3,2,2,0.462939942981067
"550",20,90,3e+07,180,1,4,4,3,2,2,0.463793000429894
"553",13,90,0,270,1,4,4,3,2,2,0.464331121526257
"554",20,90,0,270,1,4,4,3,2,2,0.464844740745664
"557",13,90,3e+07,270,1,4,4,3,2,2,0.464244832720473
"558",20,90,3e+07,270,1,4,4,3,2,2,0.464606984800903
"577",13,90,0,180,1,2,2,2,3,2,0.465605796835057
"578",20,90,0,180,1,2,2,2,3,2,0.466144788050869
"581",13,90,3e+07,180,1,2,2,2,3,2,0.465977018484668
"582",20,90,3e+07,180,1,2,2,2,3,2,0.46511014193056
"585",13,90,0,270,1,2,2,2,3,2,0.466089101577285
"586",20,90,0,270,1,2,2,2,3,2,0.465085770306451
"589",13,90,3e+07,270,1,2,2,2,3,2,0.465116928568806
"590",20,90,3e+07,270,1,2,2,2,3,2,0.465288331056201
"609",13,90,0,180,1,3,2,2,3,2,0.469129986505654
"610",20,90,0,180,1,3,2,2,3,2,0.469387078961829
"613",13,90,3e+07,180,1,3,2,2,3,2,0.46841568409456
"614",20,90,3e+07,180,1,3,2,2,3,2,0.468759713113344
"617",13,90,0,270,1,3,2,2,3,2,0.468066158261047
"618",20,90,0,270,1,3,2,2,3,2,0.469495075504317
"621",13,90,3e+07,270,1,3,2,2,3,2,0.468918936774503
"622",20,90,3e+07,270,1,3,2,2,3,2,0.468062274643946
"641",13,90,0,180,1,4,2,2,3,2,0.468263613164724
"642",20,90,0,180,1,4,2,2,3,2,0.465176088802788
"645",13,90,3e+07,180,1,4,2,2,3,2,0.467328068906652
"646",20,90,3e+07,180,1,4,2,2,3,2,0.516366539992241
"649",13,90,0,270,1,4,2,2,3,2,0.525267927091577
"650",20,90,0,270,1,4,2,2,3,2,0.465230433895868
"653",13,90,3e+07,270,1,4,2,2,3,2,0.4678791268382
"654",20,90,3e+07,270,1,4,2,2,3,2,0.465085311195975
"673",13,90,0,180,1,2,3,2,3,2,0.467345948639394
"674",20,90,0,180,1,2,3,2,3,2,0.466280728636958
"677",13,90,3e+07,180,1,2,3,2,3,2,0.466594949102308
"678",20,90,3e+07,180,1,2,3,2,3,2,0.466230669361734
"681",13,90,0,270,1,2,3,2,3,2,0.466110105310705
"682",20,90,0,270,1,2,3,2,3,2,0.467292363453387
"685",13,90,3e+07,270,1,2,3,2,3,2,0.467385631362075
"686",20,90,3e+07,270,1,2,3,2,3,2,0.466146328840699
"705",13,90,0,180,1,3,3,2,3,2,0.472968902658903
"706",20,90,0,180,1,3,3,2,3,2,0.468818049926599
"709",13,90,3e+07,180,1,3,3,2,3,2,0.471337358280459
"710",20,90,3e+07,180,1,3,3,2,3,2,0.470018698095258
"713",13,90,0,270,1,3,3,2,3,2,0.470105958728267
"714",20,90,0,270,1,3,3,2,3,2,0.470200826010395
"717",13,90,3e+07,270,1,3,3,2,3,2,0.470362280716892
"718",20,90,3e+07,270,1,3,3,2,3,2,0.470084068405853
"737",13,90,0,180,1,4,3,2,3,2,0.467465353334653
"738",20,90,0,180,1,4,3,2,3,2,0.466610785587357
"741",13,90,3e+07,180,1,4,3,2,3,2,0.535045107088258
"742",20,90,3e+07,180,1,4,3,2,3,2,0.466085293827236
"745",13,90,0,270,1,4,3,2,3,2,0.468795288905132
"746",20,90,0,270,1,4,3,2,3,2,0.46653486220777
"749",13,90,3e+07,270,1,4,3,2,3,2,0.472497247340916
"750",20,90,3e+07,270,1,4,3,2,3,2,0.466791065587019
"769",13,90,0,180,1,2,4,2,3,2,0.465254125270831
"770",20,90,0,180,1,2,4,2,3,2,0.465824581469675
"773",13,90,3e+07,180,1,2,4,2,3,2,0.465997870681582
"774",20,90,3e+07,180,1,2,4,2,3,2,0.465473384454162
"777",13,90,0,270,1,2,4,2,3,2,0.465656879076977
"778",20,90,0,270,1,2,4,2,3,2,0.465594057415877
"781",13,90,3e+07,270,1,2,4,2,3,2,0.465824375303763
"782",20,90,3e+07,270,1,2,4,2,3,2,0.465175608916482
"801",13,90,0,180,1,3,4,2,3,2,0.468925283451475
"802",20,90,0,180,1,3,4,2,3,2,0.467449717744045
"805",13,90,3e+07,180,1,3,4,2,3,2,0.468909204703259
"806",20,90,3e+07,180,1,3,4,2,3,2,0.466837612517231
"809",13,90,0,270,1,3,4,2,3,2,0.468460097565281
"810",20,90,0,270,1,3,4,2,3,2,0.467230670460786
"813",13,90,3e+07,270,1,3,4,2,3,2,0.46920427600114
"814",20,90,3e+07,270,1,3,4,2,3,2,0.468496785790295
"833",13,90,0,180,1,4,4,2,3,2,0.46689556625984
"834",20,90,0,180,1,4,4,2,3,2,0.465090380416857
"837",13,90,3e+07,180,1,4,4,2,3,2,0.471069307254364
"838",20,90,3e+07,180,1,4,4,2,3,2,0.466138811604414
"841",13,90,0,270,1,4,4,2,3,2,0.469636292465838
"842",20,90,0,270,1,4,4,2,3,2,0.464687982973163
"845",13,90,3e+07,270,1,4,4,2,3,2,0.467316862736067
"846",20,90,3e+07,270,1,4,4,2,3,2,0.465181389007706
"865",13,90,0,180,1,2,2,3,3,2,0.464036544627674
"866",20,90,0,180,1,2,2,3,3,2,0.4629772311533
"869",13,90,3e+07,180,1,2,2,3,3,2,0.46270949026411
"870",20,90,3e+07,180,1,2,2,3,3,2,0.462693132818912
"873",13,90,0,270,1,2,2,3,3,2,0.463530933923218
"874",20,90,0,270,1,2,2,3,3,2,0.462817991229917
"877",13,90,3e+07,270,1,2,2,3,3,2,0.462159597051671
"878",20,90,3e+07,270,1,2,2,3,3,2,0.46238007808239
"897",13,90,0,180,1,3,2,3,3,2,0.469184277551478
"898",20,90,0,180,1,3,2,3,3,2,0.466841274561402
"901",13,90,3e+07,180,1,3,2,3,3,2,0.465934792228756
"902",20,90,3e+07,180,1,3,2,3,3,2,0.464539933393892
"905",13,90,0,270,1,3,2,3,3,2,0.469021153750473
"906",20,90,0,270,1,3,2,3,3,2,0.465528481755902
"909",13,90,3e+07,270,1,3,2,3,3,2,0.466165303310276
"910",20,90,3e+07,270,1,3,2,3,3,2,0.465162537604003
"929",13,90,0,180,1,4,2,3,3,2,0.464523334127259
"930",20,90,0,180,1,4,2,3,3,2,0.468680851290279
"933",13,90,3e+07,180,1,4,2,3,3,2,0.464931320594658
"934",20,90,3e+07,180,1,4,2,3,3,2,0.463112453387351
"937",13,90,0,270,1,4,2,3,3,2,0.464018456615128
"938",20,90,0,270,1,4,2,3,3,2,0.464103127722833
"941",13,90,3e+07,270,1,4,2,3,3,2,0.464799465726134
"942",20,90,3e+07,270,1,4,2,3,3,2,0.462143074754895
"961",13,90,0,180,1,2,3,3,3,2,0.464541164580481
"962",20,90,0,180,1,2,3,3,3,2,0.463717910280045
"965",13,90,3e+07,180,1,2,3,3,3,2,0.464650890790773
"966",20,90,3e+07,180,1,2,3,3,3,2,0.463953949471833
"969",13,90,0,270,1,2,3,3,3,2,0.464379730739711
"970",20,90,0,270,1,2,3,3,3,2,0.463539536648074
"973",13,90,3e+07,270,1,2,3,3,3,2,0.463510994868651
"974",20,90,3e+07,270,1,2,3,3,3,2,0.463313017146222
"993",13,90,0,180,1,3,3,3,3,2,0.467569332354118
"994",20,90,0,180,1,3,3,3,3,2,0.466249542550173
"997",13,90,3e+07,180,1,3,3,3,3,2,0.467578887447715
"998",20,90,3e+07,180,1,3,3,3,3,2,0.46879425181109
"1001",13,90,0,270,1,3,3,3,3,2,0.469695117001066
"1002",20,90,0,270,1,3,3,3,3,2,0.467077605179105
"1005",13,90,3e+07,270,1,3,3,3,3,2,0.468473166294603
"1006",20,90,3e+07,270,1,3,3,3,3,2,0.466796525005864
"1025",13,90,0,180,1,4,3,3,3,2,0.465408050763175
"1026",20,90,0,180,1,4,3,3,3,2,0.465206681834059
"1029",13,90,3e+07,180,1,4,3,3,3,2,0.46583674346098
"1030",20,90,3e+07,180,1,4,3,3,3,2,0.462676628304994
"1033",13,90,0,270,1,4,3,3,3,2,0.466676452293475
"1034",20,90,0,270,1,4,3,3,3,2,0.464745013494314
"1037",13,90,3e+07,270,1,4,3,3,3,2,0.465158125565289
"1038",20,90,3e+07,270,1,4,3,3,3,2,0.463941349108626
"1057",13,90,0,180,1,2,4,3,3,2,0.463165151595857
"1058",20,90,0,180,1,2,4,3,3,2,0.462875039403369
"1061",13,90,3e+07,180,1,2,4,3,3,2,0.46376319519998
"1062",20,90,3e+07,180,1,2,4,3,3,2,0.461971705374652
"1065",13,90,0,270,1,2,4,3,3,2,0.463365003089356
"1066",20,90,0,270,1,2,4,3,3,2,0.462403421386874
"1069",13,90,3e+07,270,1,2,4,3,3,2,0.463078759074887
"1070",20,90,3e+07,270,1,2,4,3,3,2,0.463030269936904
"1089",13,90,0,180,1,3,4,3,3,2,0.466570287527536
"1090",20,90,0,180,1,3,4,3,3,2,0.467361697691959
"1093",13,90,3e+07,180,1,3,4,3,3,2,0.46705924452296
"1094",20,90,3e+07,180,1,3,4,3,3,2,0.46399130065405
"1097",13,90,0,270,1,3,4,3,3,2,0.469115968988307
"1098",20,90,0,270,1,3,4,3,3,2,0.464501634883609
"1101",13,90,3e+07,270,1,3,4,3,3,2,0.466718929340091
"1102",20,90,3e+07,270,1,3,4,3,3,2,0.465442716098999
"1121",13,90,0,180,1,4,4,3,3,2,0.464585546802806
"1122",20,90,0,180,1,4,4,3,3,2,0.463482482776261
"1125",13,90,3e+07,180,1,4,4,3,3,2,0.467486037128202
"1126",20,90,3e+07,180,1,4,4,3,3,2,0.465969988412334
"1129",13,90,0,270,1,4,4,3,3,2,0.468431196673747
"1130",20,90,0,270,1,4,4,3,3,2,0.462731948511888
"1133",13,90,3e+07,270,1,4,4,3,3,2,0.470754119066991
"1134",20,90,3e+07,270,1,4,4,3,3,2,0.461737937021637
"1153",13,90,0,180,1,2,2,2,2,3,0.465806109096206
"1154",20,90,0,180,1,2,2,2,2,3,0.466906047568701
